"type","lineno","license","cust_ID","sched","promised","RO_prn","inv_prn","status","timein","timeout","location","custname","ymm","recno","hat","dateposted","lastitemused","vehicle_ID","writer","odom_in","odom_out","balancedue","writernum","refno","estlaboramt","estpartsamt","esthours","laboramt","partsamt","taxamt","defaultTech","defaultTechParts","hazwaste","shopsupplies","hazwasteamt","shopsuppliesamt","versionstring","taxversion","taxamtmat1","taxamtmat2","taxamtmat3","taxamtmat4","taxamtmat5","taxamtmat6","taxamtmat7","taxamtmat8","taxamtmat9","taxamtlab1","taxamtlab2","taxamtlab3","taxamtlab4","taxamtlab5","taxamtlab6","taxamtlab7","taxamthazmat","taxamtshopsupplies","PrintedDate","discountamt","estdiscountamt","EstimateTax","EstimateHazmat","EstimateShopSupplies","CreatedAsEstimate","ReasonForVisit"
,,"96CXC2",26451,,,,,"C",,,,,,65708,,2011-06-20,,35753,"CB",,,47.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-20,,,,,,,
,,"X57JJR",19163,,,,,"C",,,,,,58720,,2009-06-23,,25523,"CB",,,711.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-23,,,,,,,
,,"4VNM757",23218,,,,,"C",,,,,,58545,,2009-06-04,,31409,"DM",,,135.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-04,,,,,,,
,,"BCM073",5363,,,,,"C",,,,,,56335,,2008-08-27,,29978,"DM",,,49.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-08-27,,,,,,,
,,"R14-BGP",12843,,,,,"C",,,,,,45303,,2006-01-06,,21437,"SG",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-06,,,,,,,
,,"P27GHH",20659,,,,,"C",,,,,,56595,,2008-09-25,,28091,"TN",,,83.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-09-25,,,,,,,
,,"6MCW554",24960,,,,,"C",,,,,,63811,,2010-12-03,,33828,111,,,19.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-03,,,,,,,
,,"TEX MVB",9837,,,,,"C",,,,,,55588,,2008-06-06,,11850,"CB",,,47.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-06-05,,,,,,,
,,"BIR571",8241,,,,,"V",,,,,,38108,,,,12028,"SG",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-05-08,,,,,,,
,,"012LTL",20280,,,,,"C",,,,,,53162,,2007-10-03,,27969,"SG",,,138.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-10-03,,,,,,,
,,"NYF627",23752,,,,,"V",,,,,,73350,,,,32126,111,,,1754.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-20,,,,,,,
,,"V75GCJ",22924,,,,,"V",,,,,,64250,,,,30994,"TN",,,1200.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-17,,,,,,,
,,"BL2R356",29842,,,,,"C",,,,,,73356,,2012-12-22,,40444,"ROB",,,240.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-20,,,,,,,
,,"CZ40M",3715,,,,,"C",,,,,,44226,,2005-10-07,,23444,"SG",,,889.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-06,,,,,,,
,,"462DCV",25871,,,,,"C",,,,,,64470,,2011-02-11,,35029,"CB",,,247.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-11,,,,,,,
,,"156VGB",13627,,,,,"C",,,,,,62978,,2010-10-01,,34130,"CB",,,2346.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-09-15,,,,,,,
,,"NGT941",23385,,,,,"C",,,,,,74142,,2013-02-02,,31635,"KIT",,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-02,,,,,,,
,,"7ZBV59",7996,,,,,"C",,,,,,51894,,2007-06-22,,16612,"SG",,,230.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-06-22,,,,,,,
,,"554LMZ",27748,,,,,"C",,,,,,71877,,2012-10-06,,37520,"ROB",,,23.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-06,,,,,,,
,,"X75 PVV",20492,,,,,"C",,,,,,52431,,2007-08-03,,27448,"SG",,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-08-03,,,,,,,
,,"26RBW5",23871,,,,,"C",,,,,,59819,,2009-11-04,,32290,"CB",,,608.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-03,,,,,,,
,,"259KRW",28162,,,,,"C",,,,,,74221,,2013-02-08,,38443,111,,,627.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-07,,,,,,,
,,"3YPY67",17180,,,,,"C",,,,,,42962,,2005-06-30,,22724,"CG",,,124.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-06-30,,,,,,,
,,"KXZ510",24736,,,,,"C",,,,,,61932,,2010-06-17,,33502,"CB",,,420.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-06-16,,,,,,,
,,"YXV6373",25091,,,,,"C",,,,,,62774,,2010-08-28,,33995,111,,,15.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-08-28,,,,,,,
,,"020JMD",26542,,,,,"C",,,,,,65944,,2011-07-16,,35885,"TN",,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-16,,,,,,,
,,470,11224,,,,,"C",,,,,,47923,,2006-08-03,,19096,"SG",,,50.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-03,,,,,,,
,,"BZ5C228",6586,,,,,"C",,,,,,65565,,2011-06-04,,33575,"TN",,,582.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-03,,,,,,,
,,"585MJY",23196,,,,,"C",,,,,,58502,,2009-05-30,,31372,"DM",,,668.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-05-29,,,,,,,
,,"AN2335",28226,,,,,"V",,,,,,69731,,,,38148,"ROB",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-28,,,,,,,
,,"AG56783",29864,,,,,"C",,,,,,73360,,2012-12-21,,40481,"ROB",,,231.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-20,,,,,,,
,,,19153,,,,,"C",,,,,,47989,,2006-09-07,,25512,"SG",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-08,,,,,,,
,,"91VSP4",22202,,,,,"C",,,,,,58253,,2009-05-06,,30007,"CB",,,681.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-04-29,,,,,,,
,,,25053,,,,,"C",,,,,,62702,,2010-08-23,,33950,"CB",,,219.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-08-23,,,,,,,
,,,21655,,,,,"C",,,,,,72476,,2012-11-21,,39986,"ROB",,,2436.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-05,,,,,,,
,,"242YMJ",18836,,,,,"C",,,,,,53341,,2007-10-18,,25072,"KN",,,43.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-10-17,,,,,,,
,,"6JFP62",23460,,,,,"C",,,,,,59055,,2009-07-31,,31738,"DM",,,596.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-07-30,,,,,,,
,,,16340,,,,,"C",,,,,,41202,,2005-02-04,,21651,"NF",,,80.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-02,,,,,,,
