"keyid","workid","seqno","description","performed","qty","cost","price","sale","partno","hours_charged","hours_actual","hours_pay","version","taxdollars","part_labor","discountlevel","vendorcode","tax1","tax2","tax3","tax4","tax5","tax6","tax7","tax8","tax9","tax10","acctclass","category","staticamt","techsel","TechNum","partConfirm","partCommited","accessory","part_unique","Commission","package","Symptom","LongCode","ReqCode","sMfgCode","sTSBSymptom","sTSBCategory","sTSBSystem","sUpcCode","sPartsHier","QtyConfirmed","ConfirmNum","sTSBTitle","sWDLineCode","sAffGrpId","sCatPartType","fList","bPartOrdered"
239,129,1,"Front wheel alignment","Road test vehicle.  Check all suspension and steering parts for wear.  Check tire pressure and condition.  Check riding height.  Check caster and camber angles and adjust as required.  Check and set toe-in as required.  Center steering wheel.",0,0,0,69.95,,0.78,0.78,0.78,8,0,1,0,,1,0,0,0,0,0,0,0,0,0,28,146,1,4,0,0,0,0,0,-1,0,,,0,,,,,,,0,,,,,,0,FALSE
240,130,1,"Four wheel alignment","Road test vehicle.  Check all suspension and steering parts for wear.  Check tire pressure and condition.  Check riding height.  Check alignment of all four wheels.  Adjust caster, camber, toe-in, and thrust angle as needed on all four wheels.  Center steering wheel.",0,0,0,89.95,,1,1,1,10,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
241,131,1,"Install rear wheel alignment shims","Add rear wheel alignment shims as needed for proper alignment adjustment.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,151,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
242,132,1,"Install rear wheel alignment cam bolts","Add rear wheel alignment cam bolts to allow for proper alignment adjustment.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,151,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
243,133,1,"Install front wheel alignment cam bolts","Add front wheel alignment cam bolts to allow for proper alignment adjustment.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,151,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
244,134,1,"Strut correction",,0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,151,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
245,135,1,"Balance one wheel","Remove wheel from vehicle.  Computer spin balance.  Reinstall wheel to vehicle and torque lug nuts to manufacturer's specifications.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,121,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
246,136,1,"Balance two wheels","Remove wheels from vehicle.  Computer spin balance.  Reinstall wheels to vehicle and torque lug nuts to manufacturer's specifications.",0,0,0,0,,0,0,0,3,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,121,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
247,137,1,"Balance four wheels","Remove wheels from vehicle.  Inspect brakes.  Computer spin balance.  Reinstall wheels to vehicle and torque lug nuts to manufacturer's specifications.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,121,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
248,138,1,"Power steering fluid flush","Road test for power steering operation.  Inspect system for leaks.  Flush power steering lines, pump, rack and pinion, and or gear box.  Install new power steering fluid.  Install power steering additive. Road test vehicle.",0,0,0,46.25,,0.5,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,146,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
249,139,1,"Replace power steering pump","Flush power steering system.  Remove and replace power steering pump.  Add fresh power steering fluid.  Check for leaks.  Road test vehicle.",0,0,0,0,,0,0,0,3,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,142,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
250,140,1,"Replace power steering gear box","Remove and replace power steering gear box.  Add fresh power steering fluid.  Check for leaks.  Road test vehicle.",0,0,0,0,,0,0,0,3,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,142,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
251,141,1,"Replace power steering high pressure hose","Remove and replace power steering high pressure hose.  Add fresh power steering fluid.  Checks for leaks.",0,0,0,0,,0,0,0,3,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,142,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
252,142,1,"Replace power steering return hose line","Remove and replace power steering return hose line.  Add fresh power steering fluid.  Checks for leaks.",0,0,0,0,,0,0,0,4,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,142,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
